month_date,precipitation_mm,pet_mm,temperature_mean_c,temperature_min_c,temperature_max_c,dewpoint_c,soil_moisture_layer1,soil_moisture_layer2,runoff_mm,surface_runoff_mm,solar_radiation,wind_speed,surface_pressure_kpa
2015-01-01,108.39917398616345,223.82034337154795,24.244754107187898,20.536906927634533,29.074655961662728,19.15932245609539,0.25489262415428837,0.24798734071188921,0.0004482560048034475,0.00043610125672515973,20801228.213811573,1.792598559873035,97.0097905636791
2015-02-01,153.42987687897622,205.19663202525905,24.36846095461073,19.93077017679358,29.984753992042332,18.570688447809633,0.22415461654164684,0.2164648368183599,0.00150626292620312,0.0014958287242947364,19917914.93708097,1.5252799494860356,96.88617911380939
2015-03-01,66.66765546840868,230.9762766376299,24.52891416034733,19.785820044107368,30.321263826413997,16.85648618717149,0.15009587651699166,0.16519908965001823,9.318771990628018e-05,8.255969531269279e-05,18998275.77349254,1.499579376878337,97.25274701760063
2015-04-01,25.722273932422404,158.9387828746427,21.50662996351026,17.276988113715472,26.593867358633478,15.441193462498829,0.19340189066556765,0.1754275326168398,0.0010428878912426354,0.001033609363146203,13793415.81371841,1.3196085699734994,97.35210710636265
2015-05-01,6.401154135940984,156.06364594362273,20.217187954088324,14.224896129351835,26.989467100110335,13.045340652365136,0.15529501124858425,0.184315335060618,5.5351896406511105e-05,4.630000582670907e-05,14432509.314312331,1.2151483484122199,97.51069546047607
2015-06-01,6.331617639298781,144.2298335611605,17.20312977097286,10.687879418695594,24.231674726832793,7.4987244141230995,0.10832733057896579,0.14761015773058603,1.810474946610764e-05,9.95631575154053e-06,13005960.814440431,1.25198261209543,97.70816808654075
2015-07-01,10.0376677854624,149.18882940435236,17.58971649449201,11.538689028743361,24.222812532553977,9.461377573685219,0.14541291300218795,0.14318485051956903,9.544774728561565e-05,8.745077284664884e-05,12817486.457202747,1.588153743521568,97.70780099717716
2015-08-01,8.076373578171939,180.06679092933985,19.318216941925016,13.02900653366884,26.64430367103399,10.539141485216383,0.13063171223534226,0.1467809881845073,3.8117385513085316e-05,3.068587517480127e-05,15745558.410387795,1.4642807256424677,97.7006779427015
2015-09-01,33.99371817805512,196.08326156754785,20.40708440221366,15.02495892062228,26.214179493230464,12.736938262569153,0.17507968386922831,0.16878194154815118,0.00017684714243297532,0.00017024194720840634,15830420.965207579,1.9477862925394855,97.56402603755357
2015-10-01,33.239155820573366,275.26690926577635,23.77709670187704,17.979152004108226,30.534351406539432,14.397164243744983,0.13383643865298417,0.1418672014266584,9.55527547464474e-05,8.947797630668117e-05,20787962.877723955,2.03639651548898,97.38402581504928
2015-11-01,45.71252846064345,295.8641207444108,23.749878034427187,17.67324845994567,30.28513227295216,13.452039246649047,0.1599383105152924,0.147489968447909,0.0001552928548427265,0.00015023625069146551,22025298.469795424,2.2200740696232564,97.09546467726821
2015-12-01,81.9531982450966,271.3346306221149,25.96451454565376,20.982113884863313,32.26972855376575,18.204547019349306,0.17857944513254798,0.17102256864639015,0.0009161262951172332,0.0009115011253081144,20775213.592640035,1.7685281211750543,97.05100578264806
2016-01-01,63.338098195672146,253.03343516717317,25.150363786240643,20.774573994937843,30.859244485910413,17.32682599146578,0.15398114205406274,0.14498686265706653,0.00014053817690494688,0.00013656365527142685,20511641.994643062,1.7379918972317985,97.17239061935162
2016-02-01,104.32045196264221,236.2144063579907,25.686202509072107,20.94148951667814,31.474311225137953,17.950296182520454,0.15759661551941337,0.14111956966739997,0.0001467267851536885,0.00014356128360390233,19298763.865305614,1.8325395848007189,96.99337517236435
2016-03-01,73.77374251051144,197.20208513069667,24.313960548147076,19.607181450361924,29.822304316967493,18.762743216174343,0.25571239572574406,0.25344924620231535,0.001264669888716623,0.001261600168818427,18258771.44478322,1.6702408694949227,97.0871304156363
2016-04-01,10.594631520970326,197.4126772437285,22.97656123011743,17.887523921961968,29.056807944691435,15.33538582653011,0.1367655484398062,0.1723345297864293,5.609222052329714e-05,5.334965373634861e-05,15792830.16847172,1.6957231125047443,97.43448135388462
2016-05-01,88.75732069475055,139.77287370805706,18.66860060651297,13.441045878521289,24.430574025871245,12.241064295019642,0.16777105314021454,0.16052929373392008,0.00012156733106620045,0.00011880824927388545,12939234.557121228,1.2797515939044648,97.9101088907939
2016-06-01,7.414329157162303,141.02514876247741,17.523804238002278,11.295495750528234,24.313593906443902,8.899007065899633,0.12037360386058497,0.14754025435954557,1.8014427987246738e-05,1.5517864847011084e-05,11776579.122503007,1.6691118107678693,97.958617191143
2016-07-01,15.192023792275279,147.82689024932978,16.501599639478542,10.617465374863187,22.98878257274351,7.322971313178629,0.1455326126227166,0.15540041208480074,0.0013370641947653239,0.001334513783024466,12540279.00593921,1.547869514442963,97.89035746207703
2016-08-01,6.531979238955349,194.83024298821974,18.165697579913047,10.964146023700666,26.09736763410078,7.79999798784012,0.14547424757685615,0.1874969185224661,2.1118549663667643e-05,1.8668868696646567e-05,17351738.740188655,1.4951390818324286,97.85604319527262
2016-09-01,28.712592562566705,223.8875972073431,21.55733359138315,15.506601473628105,27.989227533627353,12.125509980573172,0.15347886871631677,0.14889278955073224,0.0001505002218033002,0.0001483611789421054,16308826.492396208,2.2192489731920184,97.46958381141023
2016-10-01,61.035571409894985,232.18885370755453,21.71786079110578,16.425231738483117,27.931710978910374,13.996515607806119,0.18074332404907598,0.17088471467411387,0.00016639502685422933,0.0001642863242634797,18033351.108258724,2.0060369587284472,97.24499577389648
2016-11-01,219.28895033112047,189.09281683204836,22.699322286591308,18.428415085922225,27.533810580881354,17.156610587434134,0.23193137424804094,0.18955784677933168,0.00033786016035596385,0.0003359270440111952,15275405.585078217,1.842111636978633,97.21793651058901
2016-12-01,135.2071012976315,246.61898532283863,24.811295971297167,20.06312193949952,30.347946050067964,17.918514451454556,0.19306420300726068,0.17192013917754675,0.0004152671201994013,0.0004134304041466485,19549505.17992314,1.7601181687590308,97.02996187596439
2017-01-01,151.35041522768935,222.86378097340517,23.59138361663303,19.466056156835922,28.138930181936658,18.887806154829132,0.3122019122316111,0.3065292742963042,0.015170183906916355,0.015168436436446234,20636852.105042502,2.0457303063357837,96.95311486467172
2017-02-01,113.6105862574489,182.25683871697,24.05059271942448,20.512469127117946,28.38651572823095,19.689545205591553,0.2964442860369053,0.3023292141639429,0.0034667819415617612,0.003465218207250718,19039189.92444559,1.7659690524481249,97.06524921320572
2017-03-01,69.40006532340217,205.2712182275655,23.188804865377644,18.789522574080344,28.47606784335889,18.144618840534303,0.27053324788731303,0.28204527471724566,0.002702531939379076,0.0027005554106260157,19534030.578031827,1.6461293611038956,97.28242168612057
2017-04-01,38.65722410917072,155.92521649620593,21.345060868842786,16.811214380000322,26.38680898801801,15.804885739243465,0.1962035295048058,0.21087610288360628,0.0004168064316687583,0.00041453295558795366,15268343.788688326,1.2513134497443954,97.5727064340505
2017-05-01,12.66131356203061,146.96191541769875,19.00701536700794,13.518211076344855,25.459870385551696,12.483798817069324,0.17713775263084003,0.18149550753967678,0.00012527895748400085,0.00012291053357107114,13922457.386048676,1.4593437245001852,97.63445167334842
2017-06-01,6.203976716750708,141.00713403861874,17.547819058999355,11.330419730910602,24.333771712283667,9.441007993922291,0.11914969251856854,0.15716551877483512,9.63163720141249e-06,7.2677051547632315e-06,12191924.29843562,1.4761551165507187,97.74068026417328
2017-07-01,6.583407646148845,150.37993583760968,17.725597593479932,11.497958537148728,24.56361246683189,9.881523308154792,0.11301519859559477,0.1455222771342767,1.870020417099825e-05,1.6321559244975285e-05,13161714.298590893,1.310382247423759,97.87424411746285
2017-08-01,9.008470457702693,179.2576089770355,18.08007154459169,12.336577939470754,24.551549241716913,9.578681529754302,0.14881558520264246,0.14406618359879178,0.00012222814646008212,0.00011995875878454546,14734331.280074531,1.6140263105571488,97.70064248545752
2017-09-01,23.66027686787748,206.39743540261193,20.617334752210983,14.598802199748175,27.011633306289845,11.922824272801499,0.17485988768429525,0.15992557856150047,0.00028888138838192124,0.00028678414408475676,16394244.946720434,2.079300794032274,97.58947549110165
2017-10-01,31.97105981089393,216.5515078803262,20.82697240670207,15.654225133991604,26.38239591249116,14.120769767632394,0.20353388746519324,0.2098931247812912,0.00033436624151697054,0.0003323050397397602,18282776.613592032,1.772119767642536,97.27962123054304
