month_date,precipitation_mm,pet_mm,temperature_mean_c,temperature_min_c,temperature_max_c,dewpoint_c,soil_moisture_layer1,soil_moisture_layer2,runoff_mm,surface_runoff_mm,solar_radiation,wind_speed,surface_pressure_kpa,month,season,precipitation_mm_lag1,precipitation_mm_lag2,precipitation_mm_lag3,pet_mm_lag1,pet_mm_lag2,pet_mm_lag3,temperature_mean_c_lag1,temperature_mean_c_lag2,temperature_mean_c_lag3,temperature_min_c_lag1,temperature_min_c_lag2,temperature_min_c_lag3,temperature_max_c_lag1,temperature_max_c_lag2,temperature_max_c_lag3,dewpoint_c_lag1,dewpoint_c_lag2,dewpoint_c_lag3,soil_moisture_layer1_lag1,soil_moisture_layer1_lag2,soil_moisture_layer1_lag3,soil_moisture_layer2_lag1,soil_moisture_layer2_lag2,soil_moisture_layer2_lag3,runoff_mm_lag1,runoff_mm_lag2,runoff_mm_lag3,surface_runoff_mm_lag1,surface_runoff_mm_lag2,surface_runoff_mm_lag3,solar_radiation_lag1,solar_radiation_lag2,solar_radiation_lag3,wind_speed_lag1,wind_speed_lag2,wind_speed_lag3,surface_pressure_kpa_lag1,surface_pressure_kpa_lag2,surface_pressure_kpa_lag3,precipitation_3month,precipitation_6month,pet_3month,pet_6month,calendar_month,month_sin,month_cos,water_stress_index
2015-07-01,10.0376677854624,149.18882940435236,17.58971649449201,11.53868902874336,24.222812532553977,9.46137757368522,0.1454129130021879,0.143184850519569,9.544774728561564e-05,8.745077284664884e-05,12817486.457202747,1.588153743521568,97.70780099717716,7,Winter,6.331617639298781,6.401154135940984,25.722273932422404,144.2298335611605,156.06364594362273,158.9387828746427,17.20312977097286,20.217187954088324,21.50662996351026,10.687879418695594,14.224896129351835,17.276988113715472,24.231674726832797,26.989467100110332,26.59386735863348,7.4987244141230995,13.045340652365136,15.441193462498829,0.1083273305789657,0.1552950112485842,0.1934018906655676,0.147610157730586,0.184315335060618,0.1754275326168398,1.810474946610764e-05,5.535189640651111e-05,0.0010428878912426,9.95631575154053e-06,4.630000582670907e-05,0.0010336093631462,13005960.814440431,14432509.314312331,13793415.81371841,1.25198261209543,1.21514834841222,1.3196085699734994,97.70816808654077,97.51069546047609,97.35210710636264,22.770439560702137,268.59024584050945,449.4823089091356,1044.5940004466672,7,-0.4999999999999997,-0.8660254037844388,-0.8614569742902554
2015-08-01,8.076373578171939,180.06679092933985,19.318216941925016,13.02900653366884,26.64430367103399,10.539141485216383,0.1306317122353422,0.1467809881845073,3.811738551308532e-05,3.068587517480127e-05,15745558.410387795,1.4642807256424677,97.7006779427015,8,Winter,10.0376677854624,6.331617639298781,6.401154135940984,149.18882940435236,144.2298335611605,156.06364594362273,17.58971649449201,17.20312977097286,20.217187954088324,11.53868902874336,10.687879418695594,14.224896129351835,24.222812532553977,24.231674726832797,26.989467100110332,9.46137757368522,7.4987244141230995,13.045340652365136,0.1454129130021879,0.1083273305789657,0.1552950112485842,0.143184850519569,0.147610157730586,0.184315335060618,9.544774728561564e-05,1.810474946610764e-05,5.535189640651111e-05,8.745077284664884e-05,9.95631575154053e-06,4.630000582670907e-05,12817486.457202747,13005960.814440431,14432509.314312331,1.588153743521568,1.25198261209543,1.21514834841222,97.70780099717716,97.70816808654077,97.51069546047609,24.44565900293309,123.23674253970516,473.4854538948527,1019.4641593507481,8,-0.8660254037844385,-0.5000000000000004,-0.4815719513350558
2015-09-01,33.99371817805512,196.08326156754785,20.40708440221366,15.02495892062228,26.214179493230464,12.736938262569153,0.1750796838692283,0.1687819415481511,0.0001768471424329,0.0001702419472084,15830420.96520758,1.947786292539485,97.56402603755356,9,Spring,8.076373578171939,10.0376677854624,6.331617639298781,180.06679092933985,149.18882940435236,144.2298335611605,19.318216941925016,17.58971649449201,17.20312977097286,13.02900653366884,11.53868902874336,10.687879418695594,26.64430367103399,24.222812532553977,24.231674726832797,10.539141485216383,9.46137757368522,7.4987244141230995,0.1306317122353422,0.1454129130021879,0.1083273305789657,0.1467809881845073,0.143184850519569,0.147610157730586,3.811738551308532e-05,9.544774728561564e-05,1.810474946610764e-05,3.068587517480127e-05,8.745077284664884e-05,9.95631575154053e-06,15745558.410387795,12817486.457202747,13005960.814440431,1.4642807256424677,1.588153743521568,1.25198261209543,97.7006779427015,97.70780099717716,97.70816808654077,52.10775954168943,90.5628052493516,525.33888190124,984.571144280666,9,-1.0,-1.8369701987210297e-16,0.8666739924650786
2015-10-01,33.239155820573366,275.26690926577635,23.77709670187704,17.979152004108226,30.534351406539432,14.397164243744983,0.1338364386529841,0.1418672014266584,9.55527547464474e-05,8.947797630668117e-05,20787962.877723955,2.03639651548898,97.38402581504928,10,Spring,33.99371817805512,8.076373578171939,10.0376677854624,196.08326156754785,180.06679092933985,149.18882940435236,20.40708440221366,19.318216941925016,17.58971649449201,15.02495892062228,13.02900653366884,11.53868902874336,26.214179493230464,26.64430367103399,24.222812532553977,12.736938262569153,10.539141485216383,9.46137757368522,0.1750796838692283,0.1306317122353422,0.1454129130021879,0.1687819415481511,0.1467809881845073,0.143184850519569,0.0001768471424329,3.811738551308532e-05,9.544774728561564e-05,0.0001702419472084,3.068587517480127e-05,8.745077284664884e-05,15830420.96520758,15745558.410387795,12817486.457202747,1.947786292539485,1.4642807256424677,1.588153743521568,97.56402603755356,97.7006779427015,97.70780099717716,75.3092475768004,98.07968713750256,651.416961762664,1100.8992706717995,10,-0.8660254037844386,0.5000000000000001,-1.0671176183937827
2015-11-01,45.71252846064345,295.8641207444108,23.749878034427187,17.67324845994567,30.28513227295216,13.452039246649049,0.1599383105152924,0.147489968447909,0.0001552928548427,0.0001502362506914,22025298.469795424,2.2200740696232564,97.0954646772682,11,Spring,33.239155820573366,33.99371817805512,8.076373578171939,275.26690926577635,196.08326156754785,180.06679092933985,23.77709670187704,20.40708440221366,19.318216941925016,17.979152004108226,15.02495892062228,13.02900653366884,30.534351406539432,26.214179493230464,26.64430367103399,14.397164243744983,12.736938262569153,10.539141485216383,0.1338364386529841,0.1750796838692283,0.1306317122353422,0.1418672014266584,0.1687819415481511,0.1467809881845073,9.55527547464474e-05,0.0001768471424329,3.811738551308532e-05,8.947797630668117e-05,0.0001702419472084,3.068587517480127e-05,20787962.877723955,15830420.96520758,15745558.410387795,2.03639651548898,1.947786292539485,1.4642807256424677,97.38402581504928,97.56402603755356,97.7006779427015,112.9454024592719,137.39106146220502,767.2142915777349,1240.6997454725877,11,-0.5000000000000004,0.8660254037844384,-1.6209688131215665
2015-12-01,81.9531982450966,271.3346306221149,25.96451454565376,20.982113884863317,32.26972855376575,18.204547019349302,0.1785794451325479,0.1710225686463901,0.0009161262951172,0.0009115011253081,20775213.592640035,1.7685281211750543,97.05100578264806,12,Summer,45.71252846064345,33.239155820573366,33.99371817805512,295.8641207444108,275.26690926577635,196.08326156754785,23.749878034427187,23.77709670187704,20.40708440221366,17.67324845994567,17.979152004108226,15.02495892062228,30.28513227295216,30.534351406539432,26.214179493230464,13.452039246649049,14.397164243744983,12.736938262569153,0.1599383105152924,0.1338364386529841,0.1750796838692283,0.147489968447909,0.1418672014266584,0.1687819415481511,0.0001552928548427,9.55527547464474e-05,0.0001768471424329,0.0001502362506914,8.947797630668117e-05,0.0001702419472084,22025298.469795424,20787962.877723955,15830420.96520758,2.2200740696232564,2.03639651548898,1.947786292539485,97.0954646772682,97.38402581504928,97.56402603755356,160.90488252631337,213.01264206800283,842.4656606323019,1367.804542533542,12,-2.4492935982947064e-16,1.0,-1.9030047524439784
2016-01-01,63.33809819567215,253.0334351671732,25.150363786240643,20.774573994937843,30.859244485910413,17.32682599146578,0.1539811420540627,0.1449868626570665,0.0001405381769049,0.0001365636552714,20511641.994643062,1.7379918972317985,97.17239061935162,1,Summer,81.9531982450966,45.71252846064345,33.239155820573366,271.3346306221149,295.8641207444108,275.26690926577635,25.96451454565376,23.749878034427187,23.77709670187704,20.982113884863317,17.67324845994567,17.979152004108226,32.26972855376575,30.28513227295216,30.534351406539432,18.204547019349302,13.452039246649049,14.397164243744983,0.1785794451325479,0.1599383105152924,0.1338364386529841,0.1710225686463901,0.147489968447909,0.1418672014266584,0.0009161262951172,0.0001552928548427,9.55527547464474e-05,0.0009115011253081,0.0001502362506914,8.947797630668117e-05,20775213.592640035,22025298.469795424,20787962.877723955,1.7685281211750543,2.2200740696232564,2.03639651548898,97.05100578264806,97.0954646772682,97.38402581504928,191.00382490141217,266.3130724782126,820.2321865336988,1471.649148296363,1,0.49999999999999994,0.8660254037844387,-1.9886836698603452
2016-02-01,104.3204519626422,236.2144063579907,25.686202509072107,20.94148951667814,31.474311225137956,17.950296182520454,0.1575966155194133,0.1411195696673999,0.0001467267851536,0.0001435612836039,19298763.865305614,1.8325395848007189,96.99337517236437,2,Summer,63.33809819567215,81.9531982450966,45.71252846064345,253.0334351671732,271.3346306221149,295.8641207444108,25.150363786240643,25.96451454565376,23.749878034427187,20.774573994937843,20.982113884863317,17.67324845994567,30.859244485910413,32.26972855376575,30.28513227295216,17.32682599146578,18.204547019349302,13.452039246649049,0.1539811420540627,0.1785794451325479,0.1599383105152924,0.1449868626570665,0.1710225686463901,0.147489968447909,0.0001405381769049,0.0009161262951172,0.0001552928548427,0.0001365636552714,0.0009115011253081,0.0001502362506914,20511641.994643062,20775213.592640035,22025298.469795424,1.7379918972317985,1.7685281211750543,2.2200740696232564,97.17239061935162,97.05100578264806,97.0954646772682,249.61174840341093,362.5571508626829,760.5824721472787,1527.7967637250138,2,0.8660254037844386,0.5000000000000001,-1.6291946265948756
2016-03-01,73.77374251051144,197.20208513069667,24.31396054814708,19.607181450361924,29.822304316967493,18.762743216174343,0.255712395725744,0.2534492462023153,0.0012646698887166,0.0012616001688184,18258771.44478322,1.670240869494923,97.0871304156363,3,Autumn,104.3204519626422,63.33809819567215,81.9531982450966,236.2144063579907,253.0334351671732,271.3346306221149,25.686202509072107,25.150363786240643,25.96451454565376,20.94148951667814,20.774573994937843,20.982113884863317,31.474311225137956,30.859244485910413,32.26972855376575,17.950296182520454,17.32682599146578,18.204547019349302,0.1575966155194133,0.1539811420540627,0.1785794451325479,0.1411195696673999,0.1449868626570665,0.1710225686463901,0.0001467267851536,0.0001405381769049,0.0009161262951172,0.0001435612836039,0.0001365636552714,0.0009115011253081,19298763.865305614,20511641.994643062,20775213.592640035,1.8325395848007189,1.7379918972317985,1.7685281211750543,96.99337517236437,97.17239061935162,97.05100578264806,241.43229266882577,402.3371751951392,686.4499266558605,1528.9155872881624,3,1.0,6.123233995736766e-17,-1.3553974928148083
2016-04-01,10.594631520970326,197.4126772437285,22.97656123011743,17.887523921961968,29.056807944691435,15.33538582653011,0.1367655484398062,0.1723345297864293,5.609222052329714e-05,5.334965373634861e-05,15792830.16847172,1.6957231125047445,97.43448135388462,4,Autumn,73.77374251051144,104.3204519626422,63.33809819567215,197.20208513069667,236.2144063579907,253.0334351671732,24.31396054814708,25.686202509072107,25.150363786240643,19.607181450361924,20.94148951667814,20.774573994937843,29.822304316967493,31.474311225137956,30.859244485910413,18.762743216174343,17.950296182520454,17.32682599146578,0.255712395725744,0.1575966155194133,0.1539811420540627,0.2534492462023153,0.1411195696673999,0.1449868626570665,0.0012646698887166,0.0001467267851536,0.0001405381769049,0.0012616001688184,0.0001435612836039,0.0001365636552714,18258771.44478322,19298763.865305614,20511641.994643062,1.670240869494923,1.8325395848007189,1.7379918972317985,97.0871304156363,96.99337517236437,97.17239061935162,188.68882599412396,379.69265089553613,630.8291687324158,1451.0613552661148,4,0.8660254037844387,-0.4999999999999998,-1.4573259891306154
