date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,temperature_2m_max,temperature_2m_min,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,pet_m,pet_mm
2015-01-01,291.2532366076675,-0.005316992340750642,1.0952353477478027e-05,96857.94700532584,1.0561803187704257e-05,16386638.469314078,295.4764492135903,299.68688050418126,292.6215565815729,-0.8758560486505464,-1.5766751878098029,0.3274680205344006,0.3338079991897234,0.005316992340750642,5.316992340750642
2015-01-02,292.7737224110627,-0.006180669480282477,1.4885022752121467e-06,96789.00726957354,1.0928952736975052e-06,18772558.57039711,296.8350589811874,301.03776236303446,293.0321432175619,-0.9745862013453034,-1.8671136285423802,0.3105535587535725,0.3231435677061299,0.006180669480282477,6.180669480282477
2015-01-03,293.9176223103033,-0.006040123718309918,1.2641241404123685e-06,96780.18542230746,8.603941232288786e-07,19437790.137184117,297.6397505116376,302.4671969086685,293.5206140731646,-0.9783113035771246,-1.5415435267699753,0.2901740711088215,0.31200218200683594,0.006040123718309918,6.040123718309919
2015-01-04,293.50490336412406,-0.00770618333498063,7.396247843112325e-07,96754.53655763481,3.2787934107040235e-07,25931994.310469314,298.45679427283477,303.71229283301835,294.6497850659091,-1.1526889674786913,-0.794847803999514,0.26774128708454964,0.3000045666195425,0.00770618333498063,7.70618333498063
2015-01-05,292.6422775029849,-0.009745080817477367,4.3353233957118503e-07,96622.78530725875,3.502041854582969e-08,29498168.361010827,299.18755518228136,305.1220491595216,294.178642355578,-0.7181865565039478,-1.5714648207459065,0.241156459858845,0.28645877402038206,0.009745080817477367,9.745080817477367
2015-01-06,294.63724599303464,-0.006816417705065938,1.9472052043956105e-05,96872.76800177214,1.9085966723059918e-05,20453787.249097474,299.17108535996124,304.4284006387318,295.36187705580505,-1.2780105490977152,-0.21060706476011862,0.22745969751681658,0.2747144940097409,0.006816417705065938,6.816417705065938
2015-01-07,293.9910707806565,-0.0029767264850733507,3.694831679444021e-05,97331.37807717075,3.655211805006227e-05,6744486.570397111,296.13923386574936,297.6456531841402,294.8161285620734,-0.5741059059987715,1.8519637111291987,0.2841088218092201,0.2702276502992559,0.0029767264850733507,2.9767264850733506
2015-01-08,293.86092256897194,-0.009175818991790178,1.4284672719907244e-06,97005.81523049696,1.032752680864575e-06,26836917.429602887,299.5258692065444,304.8238919254675,295.2482668880091,-0.9517973155034292,-2.0528811559206597,0.26817959166892885,0.2668154035951543,0.009175818991790178,9.175818991790178
2015-01-09,294.3348620009623,-0.00525517296382236,8.543492009063059e-05,97173.24176855352,8.504560708138916e-05,16721533.458483752,297.25643896798357,302.2184520404692,294.3243427483183,-0.6431018145649585,1.4720887721804217,0.2913581053989745,0.26272735182559015,0.00525517296382236,5.2551729638223605
2015-01-10,292.40965326770544,-0.004679740954607403,1.0868756349336367e-05,97320.9340121089,1.0469007147778672e-05,11858124.620938627,296.3550143649288,299.7551505298821,293.54258425054996,-0.33257516612501636,1.6206639220424794,0.32955469666261816,0.27326784237197155,0.004679740954607403,4.679740954607403
2015-01-11,292.7355174651071,-0.008294805884361265,4.181147482420993e-06,97162.59276286101,3.778600950964091e-06,25377301.256317686,297.96050862198706,302.6711678074585,294.08644539182364,-1.4125866353440084,1.5036674806787649,0.2931938171386719,0.27233237852975634,0.008294805884361265,8.294805884361265
2015-01-12,293.1127654143332,-0.006799589802211803,2.804323223954073e-06,97070.34650223752,2.4149026251011375e-06,20633501.516245484,297.7305727016481,302.5215294352507,293.6412097366278,-0.5729913189379604,0.9509874134717864,0.26332106974724545,0.26596014479580915,0.006799589802211803,6.799589802211803
2015-01-13,294.0756019243408,-0.009241103399746684,1.001691560022237e-05,96780.98659429996,9.623567980549396e-06,29734129.55956678,299.67507066049586,305.2792598572879,295.41381824920325,-1.1300641129019744,-0.3120311742511754,0.23644713575085433,0.2574985104777752,0.009241103399746684,9.241103399746684
2015-01-14,293.90970238594946,-0.007450408130776581,3.1971113776472065e-05,97000.15433918095,3.159487290502885e-05,21594595.306859203,297.51880965250064,302.3379993645293,294.93443750044065,-0.4972585662033871,2.776779757796929,0.25049267434901706,0.25029416090027656,0.007450408130776581,7.450408130776581
2015-01-15,294.05247929753233,-0.006659002026495951,2.0486783464893103e-05,96912.86634843185,2.0099622247881834e-05,21365499.6967509,297.73696857870124,302.4638144703117,294.7250378329831,-0.6459780252940961,1.2697936768422775,0.2745811356821071,0.24691182353436303,0.006659002026495951,6.659002026495951
2015-01-16,293.37690325850616,-0.009329106994914663,1.0284275784819564e-05,96265.10108655797,9.896038671693216e-06,27147399.5234657,299.6748137606036,305.16522822741564,293.3289679792383,-0.6652019996505352,-1.5657675865898635,0.255941799544829,0.24251484325789946,0.009329106994914663,9.329106994914664
2015-01-17,286.8553983984441,-0.009592875784484919,3.9967119908935326e-05,97000.88996984523,3.9577161362024854e-05,18125195.6534296,294.1247418928089,298.2828751987498,291.0153863679631,-0.5876931326483991,3.623279339713453,0.296697341147743,0.24059567870359266,0.009592875784484919,9.592875784484919
2015-01-18,287.9841550696197,-0.007967688734996188,1.740208171334938e-06,97100.47300174864,1.3359940008996625e-06,22734965.169675086,295.1098027579334,300.24369084878083,290.46808781262337,-0.7749285623341546,0.37128344382620027,0.2584297005737158,0.2381349350140843,0.007967688734996188,7.967688734996187
2015-01-19,290.0211136102963,-0.005361862507537813,6.8735775104068245e-06,97191.32207348543,6.484156911553888e-06,13442707.927797832,295.428822793972,299.1346702713398,293.06412955053446,-1.0626680325945361,1.00579359399426,0.2435299543984387,0.23467488294617508,0.005361862507537813,5.361862507537813
2015-01-20,289.9948238919071,-0.005907814452148948,6.466673599683851e-06,97408.54883458841,6.080104125535875e-06,15793191.119133575,295.48207973659254,299.48872706003567,292.11020123313045,-0.8359962764916724,0.9127265962309211,0.23233516293742595,0.23143671221681447,0.005907814452148948,5.907814452148948
2015-01-21,291.64010967617287,-0.008994935329210026,5.454631919034551e-06,97366.66723427158,5.0573034837357835e-06,25424384.20216606,297.7589115069374,304.5996837960254,293.1619964489438,-1.111622256779355,-1.6917499950789945,0.2247619996145457,0.22684623589727995,0.008994935329210026,8.994935329210026
2015-01-22,292.24472439073907,-0.004689794988623594,2.0200487508670514e-05,97681.88865424752,1.982026582160151e-05,14051293.22743682,295.6822590122154,299.5028868306845,294.01379097067485,-1.4813670400534582,0.2719181819082597,0.23030049017620427,0.22312398421635266,0.004689794988623594,4.689794988623595
2015-01-23,290.47875904032753,-0.005512140449203739,2.083042468404942e-06,97345.8943914053,1.6891031058686731e-06,15913686.77256318,295.7005820658806,299.9246988675224,292.67598126683424,-1.0135942566982963,-0.3644521095835918,0.22975991865357764,0.22090530165983305,0.005512140449203739,5.512140449203739
2015-01-24,289.59991176435375,-0.00927668492501393,5.724843228336706e-07,97013.33661380771,1.790829083549417e-07,29063091.465703968,296.47670871169987,302.7007644598234,291.3370745827575,-0.7735133985893533,-1.698593566564016,0.20587651910334287,0.21613851609212825,0.00927668492501393,9.27668492501393
2015-01-25,291.30956527902754,-0.010843764439171401,4.128213393559094e-07,96765.84467309246,2.2028972956247707e-08,30254996.46209386,298.61987504603337,305.43723889292363,292.46614140810084,-0.9367724187968007,-2.258760773604814,0.17920520474907867,0.20932715607607547,0.010843764439171401,10.843764439171402
2015-01-26,292.975125447077,-0.009334973452969146,4.687948347429076e-07,96882.06996641375,8.37047177531659e-08,27305054.772563174,299.9076724436882,306.12359288625333,294.24419582105287,-1.0607626624629527,-1.5034842953067966,0.15846953868292155,0.20234264277379002,0.009334973452969146,9.334973452969146
2015-01-27,294.24475698780924,-0.009163160078792365,4.19243901214875e-05,96760.17504089575,4.153798203175678e-05,27366496.245487362,300.6680599584476,308.34698475310944,294.8506483498033,-0.816407870443002,-0.41807003213467003,0.16066475465409588,0.19579126057355123,0.009163160078792365,9.163160078792366
2015-01-28,293.46394267122383,-0.004606774702184037,5.072086296356972e-05,97008.07793579834,5.0338892945313704e-05,11003543.942238266,296.5064495215203,299.9412160384525,294.8825484733719,-0.15809394220152487,2.4098937152812048,0.27998099344301736,0.19619217102564918,0.004606774702184037,4.606774702184037
2015-01-29,290.9853162983551,-0.006763812544543821,4.978763067334998e-06,97199.7325675955,4.586760317805871e-06,14665929.039711189,296.37778380631534,298.9843956021195,294.5832544319897,-0.2836268203496646,2.7893360392711655,0.2782307497430794,0.20370614686454103,0.006763812544543821,6.76381254454382
2015-01-30,292.62648179413463,-0.0066723473881125876,1.622645002840228e-05,97155.34128509043,1.5844506907549142e-05,19014908.028880864,296.73534684118096,300.65431549402774,294.4136789920958,-0.9101452787286824,1.9504105488172363,0.2632463067303783,0.20498066200963286,0.0066723473881125876,6.672347388112588
2015-01-31,292.5763252662264,-0.007464770563888206,1.3904881391284266e-06,96722.59894599408,9.931597038296585e-07,22184204.563176893,298.31828732496274,304.2618645623272,293.5811415579344,-0.9021488584479412,-1.041936298283142,0.2484507715659021,0.20472958285886025,0.007464770563888206,7.464770563888206
2015-02-01,292.66853814291466,-0.006247070641509031,9.211607358085548e-06,96516.3715420756,8.837141715232214e-06,16207616.202166064,296.8738942863565,300.26685396600715,293.44000144986035,-1.3018270438328543,1.1782890278509806,0.22820683650304835,0.20269699877063002,0.006247070641509031,6.247070641509032
2015-02-02,290.19322653769296,-0.0048663609187095174,1.0915450240730808e-05,96523.22692386337,1.0522694363921128e-05,10238978.238267146,294.75784829205116,299.1580842496686,292.1367266823669,-0.8892654226431633,0.7078675546657593,0.22927922089320799,0.201544241784712,0.0048663609187095174,4.866360918709518
2015-02-03,292.4359575287673,-0.005061018956482195,1.3446388261843244e-05,96390.01098720949,1.3064445140990107e-05,14433122.296028877,295.8912741687467,300.84291054625805,291.78923188908436,-1.180648502460025,0.15523471356012042,0.23905652869048957,0.20106568089747973,0.005061018956482195,5.0610189564821955
2015-02-04,293.9113474707024,-0.0059658932879513345,2.370199141519595e-06,96353.02631254231,1.97916469849404e-06,17491139.451263536,298.76195359717775,304.6256945778747,294.3654292137614,-0.48509029360884787,-0.7956292218966892,0.2334467340462475,0.20024739161008243,0.0059658932879513345,5.965893287951334
2015-02-05,295.1274988126238,-0.008727766896197942,0.0005266294690245756,96220.92502033037,0.000526272110129952,25812040.37545126,300.9899723681875,308.5997557932719,295.250074586283,0.014290543096016744,-0.6742949421225042,0.24385603068107298,0.19913917155902736,0.008727766896197942,8.727766896197942
2015-02-06,294.16258444711474,-0.004591596390150944,1.1520910779491656e-05,96627.73217685301,1.113606273912781e-05,12210845.667870035,297.5911138972938,301.6593257752566,294.9280499620127,-0.8124592416122932,0.36376315964975364,0.3330776109018337,0.2386168538448182,0.004591596390150944,4.5915963901509445
2015-02-07,294.5576047885862,-0.005905580165584165,1.944402495015829e-05,96890.18364898275,1.9061005933190082e-05,18568508.837545127,298.2927086459457,303.53898179918417,295.5745117518015,-0.8800169857830777,0.08773933880022143,0.3028577742593813,0.24338371974609962,0.005905580165584165,5.905580165584165
2015-02-08,293.24271743535706,-0.008493137623213689,4.41569283550827e-06,96983.77770981404,4.041227192654937e-06,26252776.303249095,298.8240992664287,304.6877222164443,294.74684688416625,-0.8224788027693362,0.758289128290904,0.28337191273015616,0.24239274310721387,0.008493137623213689,8.493137623213688
2015-02-09,293.395823739209,-0.008385822338317705,1.8347256450446502e-06,96938.4203772516,1.447376146213242e-06,24522072.332129963,299.42609267802874,305.3117257128553,295.3464507505782,-1.2166245535966433,-1.1559176691746165,0.24618793997093225,0.23682768967464363,0.008385822338317705,8.385822338317706
2015-02-10,293.083907100985,-0.010454168496149111,3.7505738571662763e-07,96869.06651142731,0.0,29269955.422382668,300.4257833570349,307.60570187344877,293.6627625833779,-0.8931526064729287,-1.9104532891375634,0.2124527955313452,0.22899723856314277,0.010454168496149111,10.45416849614911
2015-02-11,292.5863309853343,-0.009524872775327427,4.535440073116591e-07,97130.7475433166,8.246743722082476e-08,29098267.003610104,299.79211547429236,306.7450507539274,293.5796984180216,-1.1520765040038436,-0.6130794339805447,0.18405455946205035,0.22018882944265425,0.009524872775327427,9.524872775327427
2015-02-12,291.87390592095363,-0.008423215376771313,1.5554230135700762e-06,97130.20815823367,1.1864982357094003e-06,24391028.80866426,299.1171095970879,305.30289742920803,294.5316168719681,-0.8607232460189524,-0.4257952248863651,0.16699205896627745,0.21237740820782564,0.008423215376771313,8.423215376771314
2015-02-13,293.48385700909813,-0.009415471112685082,9.390959240469261e-07,96713.15490091004,5.571797005966681e-07,26167073.76173285,300.08851490869995,306.3993006957567,294.11069331530626,-0.7812446159289343,-2.1028658191793372,0.15233186522115436,0.2050828371380784,0.009415471112685082,9.415471112685081
2015-02-14,294.3069595102799,-0.009457230702419142,0.0007634962293645534,96372.57529578915,0.0007631320923244049,22704885.79061372,300.7203598963511,307.89479345879397,293.6886397268798,0.12807286531629689,-1.0047123972976537,0.19584064965644035,0.20072678108077618,0.009457230702419142,9.457230702419142
2015-02-15,290.3848305505966,-0.006654681093210778,1.2077391147613525e-05,96842.48782411063,1.1706368372328444e-05,10395532.534296028,295.30979662825195,298.13402207577695,292.4574251140498,-0.574134615497612,3.551551710971139,0.33226459838279604,0.2431112443210129,0.006654681093210778,6.654681093210778
